dataset,method,k,m,run,seed,cost
Covertype,Sequential StreamKM++,25,1000,1,2026,1.8070840580010693E11
Covertype,Spark StreamKM++,25,1000,1,2026,1.8202467222088885E11
Covertype,Sequential StreamKM++,25,5000,1,2026,1.7480711185417285E11
Covertype,Spark StreamKM++,25,5000,1,2026,1.7588021422447916E11
Covertype,Sequential StreamKM++,25,10000,1,2026,1.7456484310285452E11
Covertype,Spark StreamKM++,25,10000,1,2026,1.745366952468775E11
Covertype,Sequential StreamKM++,25,20000,1,2026,1.7418554053530557E11
Covertype,Spark StreamKM++,25,20000,1,2026,1.7399214836357654E11
